username,repo_name,stars,repo_url
mastodon,mastodon,26000,https://github.com/mastodon/mastodon
TwidereProject,Twidere-Android,2500,https://github.com/TwidereProject/Twidere-Android
mastodon,documentation,1400,https://github.com/mastodon/documentation
tuskyapp,Tusky,1200,https://github.com/tuskyapp/Tusky
nolanlawson,pinafore,602,https://github.com/nolanlawson/pinafore
h3poteto,whalebird-desktop,562,https://github.com/h3poteto/whalebird-desktop
ihabunek,toot,500,https://github.com/ihabunek/toot
kha7iq,pingme,481,https://github.com/kha7iq/pingme
rustodon,rustodon,464,https://github.com/rustodon/rustodon
Aardwolf-Social,aardwolf,406,https://github.com/Aardwolf-Social/aardwolf
Wonderfall,dockerfiles,391,https://github.com/Wonderfall/dockerfiles
rhysd,Mstdn,390,https://github.com/rhysd/Mstdn
tleb,awesome-mastodon,368,https://github.com/tleb/awesome-mastodon
renatolond,mastodon-twitter-poster,362,https://github.com/renatolond/mastodon-twitter-poster
bleakgrey,tootle,351,https://github.com/bleakgrey/tootle
nextcloud,social,331,https://github.com/nextcloud/social
mattn,go-mastodon,323,https://github.com/mattn/go-mastodon
superseriousbusiness,gotosocial,313,https://github.com/superseriousbusiness/gotosocial
norweeg,self-hosted-docker-server-templates,258,https://github.com/norweeg/self-hosted-docker-server-templates
FedStoa,moa,247,https://github.com/FedStoa/moa
magicalraccoon,tootstream,235,https://github.com/magicalraccoon/tootstream
ethibox,awesome-stacks,217,https://github.com/ethibox/awesome-stacks
wabarc,wayback,176,https://github.com/wabarc/wayback
NicolasConstant,sengi,174,https://github.com/NicolasConstant/sengi
yogthos,mastodon-bot,166,https://github.com/yogthos/mastodon-bot
joyeusenoelle,GuideToMastodon,160,https://github.com/joyeusenoelle/GuideToMastodon
jdenen,mastodon.el,154,https://github.com/jdenen/mastodon.el
hyperspacedev,hyperspace,147,https://github.com/hyperspacedev/hyperspace
cutls,TheDesk,147,https://github.com/cutls/TheDesk
pfefferle,wordpress-activitypub,143,https://github.com/pfefferle/wordpress-activitypub
