username,repo_name,stars,repo_url
flutter,flutter,133000,https://github.com/flutter/flutter
mui-org,material-ui,73400,https://github.com/mui-org/material-ui
ionic-team,ionic-framework,45700,https://github.com/ionic-team/ionic-framework
google,material-design-icons,44400,https://github.com/google/material-design-icons
Dogfalo,materialize,38600,https://github.com/Dogfalo/materialize
Solido,awesome-flutter,38400,https://github.com/Solido/awesome-flutter
vuetifyjs,vuetify,33000,https://github.com/vuetifyjs/vuetify
google,material-design-lite,31900,https://github.com/google/material-design-lite
angular,components,22300,https://github.com/angular/components
mdbootstrap,mdb-ui-kit,21800,https://github.com/mdbootstrap/mdb-ui-kit
HeroTransitions,Hero,20500,https://github.com/HeroTransitions/Hero
quasarframework,quasar,20000,https://github.com/quasarframework/quasar
afollestad,material-dialogs,19100,https://github.com/afollestad/material-dialogs
angular,material,16700,https://github.com/angular/material
framework7io,framework7,16500,https://github.com/framework7io/framework7
material-components,material-components-web,15900,https://github.com/material-components/material-components-web
iampawan,FlutterExampleApps,15900,https://github.com/iampawan/FlutterExampleApps
froala,design-blocks,13300,https://github.com/froala/design-blocks
material-components,material-components-android,13100,https://github.com/material-components/material-components-android
CosmicMind,Material,11900,https://github.com/CosmicMind/Material
MaterialDesignInXAML,MaterialDesignInXamlToolkit,11500,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
mikepenz,MaterialDrawer,11500,https://github.com/mikepenz/MaterialDrawer
equinusocio,material-theme,11100,https://github.com/equinusocio/material-theme
wenzhixin,bootstrap-table,11000,https://github.com/wenzhixin/bootstrap-table
Ramotion,animated-tab-bar,10900,https://github.com/Ramotion/animated-tab-bar
Ramotion,folding-cell,10000,https://github.com/Ramotion/folding-cell
AppIntro,AppIntro,10000,https://github.com/AppIntro/AppIntro
creativetimofficial,material-dashboard,10000,https://github.com/creativetimofficial/material-dashboard
ksoichiro,Android-ObservableScrollView,9600,https://github.com/ksoichiro/Android-ObservableScrollView
Templarian,MaterialDesign,9600,https://github.com/Templarian/MaterialDesign
