username,repo_name,stars,repo_url
GoogleContainerTools,jib,11300,https://github.com/GoogleContainerTools/jib
bytedeco,javacv,5500,https://github.com/bytedeco/javacv
zhanglei-workspace,shopping-management-system,4100,https://github.com/zhanglei-workspace/shopping-management-system
java-aodeng,hope-boot,3200,https://github.com/java-aodeng/hope-boot
Kotlin,kotlin-examples,3000,https://github.com/Kotlin/kotlin-examples
apache,maven,2900,https://github.com/apache/maven
rubenlagus,TelegramBots,2700,https://github.com/rubenlagus/TelegramBots
spotify,docker-maven-plugin,2600,https://github.com/spotify/docker-maven-plugin
spotify,dockerfile-maven,2600,https://github.com/spotify/dockerfile-maven
ZHENFENG13,My-Blog,2400,https://github.com/ZHENFENG13/My-Blog
diffplug,spotless,2300,https://github.com/diffplug/spotless
jitpack,jitpack.io,2200,https://github.com/jitpack/jitpack.io
bytedeco,javacpp-presets,2000,https://github.com/bytedeco/javacpp-presets
vector4wang,spring-boot-quick,1800,https://github.com/vector4wang/spring-boot-quick
bonigarcia,webdrivermanager,1800,https://github.com/bonigarcia/webdrivermanager
sanluan,PublicCMS,1800,https://github.com/sanluan/PublicCMS
ZHENFENG13,ssm-demo,1600,https://github.com/ZHENFENG13/ssm-demo
iBase4J,iBase4J,1500,https://github.com/iBase4J/iBase4J
henryyan,kft-activiti-demo,1500,https://github.com/henryyan/kft-activiti-demo
fabric8io,docker-maven-plugin,1500,https://github.com/fabric8io/docker-maven-plugin
git-commit-id,git-commit-id-maven-plugin,1300,https://github.com/git-commit-id/git-commit-id-maven-plugin
aliyun,aliyun-openapi-java-sdk,1300,https://github.com/aliyun/aliyun-openapi-java-sdk
codenameone,CodenameOne,1100,https://github.com/codenameone/CodenameOne
IanDarwin,Android-Cookbook-Examples,957,https://github.com/IanDarwin/Android-Cookbook-Examples
apereo,cas-overlay-template,952,https://github.com/apereo/cas-overlay-template
scala-steward-org,scala-steward,926,https://github.com/scala-steward-org/scala-steward
gardncl,elements-of-programming-interviews,809,https://github.com/gardncl/elements-of-programming-interviews
itwanger,toBeBetterJavaer,803,https://github.com/itwanger/toBeBetterJavaer
javafx-maven-plugin,javafx-maven-plugin,794,https://github.com/javafx-maven-plugin/javafx-maven-plugin
scana,ok-gradle,670,https://github.com/scana/ok-gradle
