username,repo_name,stars,repo_url
fogleman,Craft,8900,https://github.com/fogleman/Craft
dnschneid,crouton,7900,https://github.com/dnschneid/crouton
MinecraftForge,MinecraftForge,5100,https://github.com/MinecraftForge/MinecraftForge
PaperMC,Paper,4900,https://github.com/PaperMC/Paper
nuno-faria,tiler,4700,https://github.com/nuno-faria/tiler
cuberite,cuberite,4000,https://github.com/cuberite/cuberite
cabaletta,baritone,3800,https://github.com/cabaletta/baritone
huanghongxun,HMCL,3300,https://github.com/huanghongxun/HMCL
CaffeineMC,sodium-fabric,2800,https://github.com/CaffeineMC/sodium-fabric
GeyserMC,Geyser,2800,https://github.com/GeyserMC/Geyser
MultiMC,Launcher,2800,https://github.com/MultiMC/Launcher
pmmp,PocketMine-MP,2600,https://github.com/pmmp/PocketMine-MP
PrismarineJS,mineflayer,2300,https://github.com/PrismarineJS/mineflayer
EngineHub,WorldEdit,2200,https://github.com/EngineHub/WorldEdit
PojavLauncherTeam,PojavLauncher,1900,https://github.com/PojavLauncherTeam/PojavLauncher
toolbox4minecraft,amidst,1800,https://github.com/toolbox4minecraft/amidst
icexin,gocraft,1700,https://github.com/icexin/gocraft
microsoft,pxt,1600,https://github.com/microsoft/pxt
PistonDevelopers,hematite,1500,https://github.com/PistonDevelopers/hematite
GlowstoneMC,Glowstone,1500,https://github.com/GlowstoneMC/Glowstone
feather-rs,feather,1400,https://github.com/feather-rs/feather
LuckPerms,LuckPerms,1300,https://github.com/LuckPerms/LuckPerms
Querz,mcaselector,1300,https://github.com/Querz/mcaselector
BuildCraft,BuildCraft,1200,https://github.com/BuildCraft/BuildCraft
Suwings,MCSManager,1200,https://github.com/Suwings/MCSManager
MightyPirates,OpenComputers,1200,https://github.com/MightyPirates/OpenComputers
EssentialsX,Essentials,1200,https://github.com/EssentialsX/Essentials
SpongePowered,SpongeForge,1100,https://github.com/SpongePowered/SpongeForge
CaffeineMC,lithium-fabric,1100,https://github.com/CaffeineMC/lithium-fabric
SpongePowered,SpongeAPI,1100,https://github.com/SpongePowered/SpongeAPI
