username,repo_name,stars,repo_url
flutter,flutter,133000,https://github.com/flutter/flutter
ionic-team,ionic-framework,45700,https://github.com/ionic-team/ionic-framework
Solido,awesome-flutter,38400,https://github.com/Solido/awesome-flutter
fastlane,fastlane,33300,https://github.com/fastlane/fastlane
jondot,awesome-react-native,30700,https://github.com/jondot/awesome-react-native
nolimits4web,swiper,29400,https://github.com/nolimits4web/swiper
youzan,vant,18800,https://github.com/youzan/vant
alibaba,weex,17800,https://github.com/alibaba/weex
framework7io,framework7,16500,https://github.com/framework7io/framework7
ElemeFE,mint-ui,16500,https://github.com/ElemeFE/mint-ui
matomo-org,matomo,15700,https://github.com/matomo-org/matomo
expo,expo,15500,https://github.com/expo/expo
realm,realm-cocoa,14700,https://github.com/realm/realm-cocoa
Tencent,vConsole,14000,https://github.com/Tencent/vConsole
aurelia,framework,11700,https://github.com/aurelia/framework
liriliri,eruda,11500,https://github.com/liriliri/eruda
realm,realm-java,11200,https://github.com/realm/realm-java
taye,interact.js,10500,https://github.com/taye/interact.js
ant-design,ant-design-mobile,9400,https://github.com/ant-design/ant-design-mobile
Tencent,wcdb,9200,https://github.com/Tencent/wcdb
AlloyTeam,Mars,9200,https://github.com/AlloyTeam/Mars
vuestorefront,vue-storefront,9100,https://github.com/vuestorefront/vue-storefront
didi,chameleon,8600,https://github.com/didi/chameleon
antvis,F2,7600,https://github.com/antvis/F2
alibaba,rax,7500,https://github.com/alibaba/rax
uber,RIBs,6600,https://github.com/uber/RIBs
mvt-project,mvt,6300,https://github.com/mvt-project/mvt
Tencent,Hippy,6200,https://github.com/Tencent/Hippy
PaddlePaddle,Paddle-Lite,5800,https://github.com/PaddlePaddle/Paddle-Lite
sshahine,JFoenix,5700,https://github.com/sshahine/JFoenix
