username,repo_name,stars,repo_url
flutter,flutter,133000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,84700,https://github.com/justjavac/free-programming-books-zh_CN
ionic-team,ionic-framework,45700,https://github.com/ionic-team/ionic-framework
google,material-design-icons,44400,https://github.com/google/material-design-icons
vsouza,awesome-ios,38600,https://github.com/vsouza/awesome-ios
Solido,awesome-flutter,38400,https://github.com/Solido/awesome-flutter
fastlane,fastlane,33300,https://github.com/fastlane/fastlane
FiloSottile,mkcert,32800,https://github.com/FiloSottile/mkcert
xitu,gold-miner,29800,https://github.com/xitu/gold-miner
bilibili,ijkplayer,29700,https://github.com/bilibili/ijkplayer
dkhamsing,open-source-ios-apps,28700,https://github.com/dkhamsing/open-source-ios-apps
SheetJS,sheetjs,28300,https://github.com/SheetJS/sheetjs
SDWebImage,SDWebImage,23900,https://github.com/SDWebImage/SDWebImage
airbnb,lottie-ios,22200,https://github.com/airbnb/lottie-ios
react-native-elements,react-native-elements,21700,https://github.com/react-native-elements/react-native-elements
matteocrippa,awesome-swift,21400,https://github.com/matteocrippa/awesome-swift
ReactiveX,RxSwift,21100,https://github.com/ReactiveX/RxSwift
NativeScript,NativeScript,20700,https://github.com/NativeScript/NativeScript
HeroTransitions,Hero,20500,https://github.com/HeroTransitions/Hero
quasarframework,quasar,20000,https://github.com/quasarframework/quasar
onevcat,Kingfisher,19400,https://github.com/onevcat/Kingfisher
libgdx,libgdx,19400,https://github.com/libgdx/libgdx
ultralytics,yolov5,19300,https://github.com/ultralytics/yolov5
nikitavoloboev,my-mac-os,18300,https://github.com/nikitavoloboev/my-mac-os
didi,DoraemonKit,18300,https://github.com/didi/DoraemonKit
alibaba,weex,17800,https://github.com/alibaba/weex
GeekyAnts,NativeBase,16600,https://github.com/GeekyAnts/NativeBase
framework7io,framework7,16500,https://github.com/framework7io/framework7
iampawan,FlutterExampleApps,15900,https://github.com/iampawan/FlutterExampleApps
cocos2d,cocos2d-x,15700,https://github.com/cocos2d/cocos2d-x
