username,repo_name,stars,repo_url
jquery,jquery,55600,https://github.com/jquery/jquery
alvarotrigo,fullPage.js,32900,https://github.com/alvarotrigo/fullPage.js
NervJS,taro,30100,https://github.com/NervJS/taro
select2,select2,25200,https://github.com/select2/select2
cheeriojs,cheerio,24600,https://github.com/cheeriojs/cheerio
nhn,tui.editor,14000,https://github.com/nhn/tui.editor
pandao,editor.md,11700,https://github.com/pandao/editor.md
jessepollak,card,11400,https://github.com/jessepollak/card
jquery,jquery-ui,11000,https://github.com/jquery/jquery-ui
PuerkitoBio,goquery,10900,https://github.com/PuerkitoBio/goquery
jquery-validation,jquery-validation,10100,https://github.com/jquery-validation/jquery-validation
nhn,tui.calendar,9500,https://github.com/nhn/tui.calendar
snapappointments,bootstrap-select,9400,https://github.com/snapappointments/bootstrap-select
fengyuanchen,cropper,7800,https://github.com/fengyuanchen/cropper
fancyapps,fancybox,7200,https://github.com/fancyapps/fancybox
olton,Metro-UI-CSS,6800,https://github.com/olton/Metro-UI-CSS
AllThingsSmitty,must-watch-javascript,6500,https://github.com/AllThingsSmitty/must-watch-javascript
bda-research,node-crawler,6000,https://github.com/bda-research/node-crawler
fabiospampinato,cash,5700,https://github.com/fabiospampinato/cash
jquery-form,form,5100,https://github.com/jquery-form/form
yujiosaka,headless-chrome-crawler,5100,https://github.com/yujiosaka/headless-chrome-crawler
kartik-v,bootstrap-fileinput,5100,https://github.com/kartik-v/bootstrap-fileinput
bigskysoftware,intercooler-js,4700,https://github.com/bigskysoftware/intercooler-js
givanz,VvvebJs,4600,https://github.com/givanz/VvvebJs
olifolkerd,tabulator,4300,https://github.com/olifolkerd/tabulator
benpickles,peity,4200,https://github.com/benpickles/peity
AllThingsSmitty,jquery-tips-everyone-should-know,4200,https://github.com/AllThingsSmitty/jquery-tips-everyone-should-know
yajra,laravel-datatables,4100,https://github.com/yajra/laravel-datatables
alvarotrigo,pagePiling.js,4000,https://github.com/alvarotrigo/pagePiling.js
rmm5t,jquery-timeago,3800,https://github.com/rmm5t/jquery-timeago
