username,repo_name,stars,repo_url
flutter,flutter,133000,https://github.com/flutter/flutter
jlevy,the-art-of-command-line,100000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,83400,https://github.com/nodejs/node
atom,atom,56400,https://github.com/atom/atom
jaywcjlove,awesome-mac,46500,https://github.com/jaywcjlove/awesome-mac
vercel,hyper,37400,https://github.com/vercel/hyper
alacritty,alacritty,35900,https://github.com/alacritty/alacritty
GitSquared,edex-ui,34700,https://github.com/GitSquared/edex-ui
FiloSottile,mkcert,32800,https://github.com/FiloSottile/mkcert
PowerShell,PowerShell,31100,https://github.com/PowerShell/PowerShell
Homebrew,brew,30100,https://github.com/Homebrew/brew
shadowsocks,ShadowsocksX-NG,30000,https://github.com/shadowsocks/ShadowsocksX-NG
nativefier,nativefier,29200,https://github.com/nativefier/nativefier
agalwood,Motrix,29100,https://github.com/agalwood/Motrix
serhii-londar,open-source-mac-os-apps,28800,https://github.com/serhii-londar/open-source-mac-os-apps
iina,iina,28600,https://github.com/iina/iina
sherlock-project,sherlock,28400,https://github.com/sherlock-project/sherlock
mathiasbynens,dotfiles,27200,https://github.com/mathiasbynens/dotfiles
herrbischoff,awesome-macos-command-line,25600,https://github.com/herrbischoff/awesome-macos-command-line
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
SDWebImage,SDWebImage,23900,https://github.com/SDWebImage/SDWebImage
marktext,marktext,21900,https://github.com/marktext/marktext
onevcat,Kingfisher,19400,https://github.com/onevcat/Kingfisher
sickcodes,Docker-OSX,18900,https://github.com/sickcodes/Docker-OSX
MustangYM,WeChatExtension-ForMac,18900,https://github.com/MustangYM/WeChatExtension-ForMac
drduh,macOS-Security-and-Privacy-Guide,18600,https://github.com/drduh/macOS-Security-and-Privacy-Guide
nikitavoloboev,my-mac-os,18300,https://github.com/nikitavoloboev/my-mac-os
BoostIO,BoostNote-Legacy,17400,https://github.com/BoostIO/BoostNote-Legacy
Swordfish90,cool-retro-term,15500,https://github.com/Swordfish90/cool-retro-term
hzlzh,Best-App,15200,https://github.com/hzlzh/Best-App
